URL,Bezirk,Minuspunkte,Note,RestaurantName,pubDate,Adresse
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/97,"Berlin - Charlottenburg-Wilmersdorf
","

  
 5
",gut,Esstaurant Mirko,"Fri, 27 Apr 2012 00:00:00 +0200","Windscheidstr. 40, 10627 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/95,"Berlin - Charlottenburg-Wilmersdorf
","

  
 16
",gut,Split-Grill,"Tue, 15 May 2012 00:00:00 +0200","Kaiserin-Augusta-Allee 46, 10589 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/93,"Berlin - Charlottenburg-Wilmersdorf
","

  
 12
",gut,Wolf's Inn,"Mon, 10 Sep 2012 00:00:00 +0200","Storkwinkel 2, 10711 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/91,"Berlin - Charlottenburg-Wilmersdorf
",,sehr gut,Birkeneck,"Thu, 24 May 2012 00:00:00 +0200","Salzbrunner Str. 21, 14193 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/89,"Berlin - Charlottenburg-Wilmersdorf
","

  
 1
",gut,Ars Vini,"Mon, 15 Oct 2012 00:00:00 +0200","Xantener Str. 9, 10707 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/87,"Berlin - Charlottenburg-Wilmersdorf
","

  
 16
",gut,Gasthaus Landauer,"Wed, 26 Sep 2012 00:00:00 +0200","Landauer Str. 8, 14197 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/85,"Berlin - Charlottenburg-Wilmersdorf
","

  
 6
",gut,Sardegna a Tavola im Waldhaus,"Mon, 21 May 2012 00:00:00 +0200","Heerstr. 138, 14055 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/83,"Berlin - Charlottenburg-Wilmersdorf
","

  
 14
",gut,Nguyen,"Thu, 13 Sep 2012 00:00:00 +0200","Tauroggener Str. 3, 10589 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/81,"Berlin - Charlottenburg-Wilmersdorf
","

  
 10
",gut,Schlosshotel im Grunewald,"Wed, 17 Oct 2012 00:00:00 +0200","Brahmsstr. 6-10, 14193 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/79,"Berlin - Charlottenburg-Wilmersdorf
","

  
 6
",gut,Greece,"Thu, 01 Nov 2012 00:00:00 +0100","Bornimer Str. 4, 10711 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/77,"Berlin - Charlottenburg-Wilmersdorf
","

  
 17
",gut,Anfora II,"Wed, 19 Sep 2012 00:00:00 +0200","Spandauer Damm 112, 14059 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/75,"Berlin - Charlottenburg-Wilmersdorf
","

  
 17
",gut,Aparotel Berlin,"Thu, 06 Sep 2012 00:00:00 +0200","Osnabrücker Str. 7, 10589 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/73,"Berlin - Charlottenburg-Wilmersdorf
","

  
 9
",gut,Green Papaya,"Mon, 05 Mar 2012 00:00:00 +0100","Pestalozzistr. 33, 10627 Berlin"
